| Epoch: 248/999999 (1/1) | Loss: 9.5100 | 2.3 steps/s | Step: 0k | 
| Epoch: 249/999999 (1/1) | Loss: 9.6766 | 2.4 steps/s | Step: 0k | 
| Epoch: 250/999999 (1/1) | Loss: 9.4984 | 2.6 steps/s | Step: 0k | 
| Epoch: 251/999999 (1/1) | Loss: 9.4516 | 1.9 steps/s | Step: 0k | 
| Epoch: 252/999999 (1/1) | Loss: 9.5345 | 2.3 steps/s | Step: 0k | 
| Epoch: 253/999999 (1/1) | Loss: 9.3423 | 2.5 steps/s | Step: 0k | 
| Epoch: 254/999999 (1/1) | Loss: 9.1286 | 2.7 steps/s | Step: 0k | 
| Epoch: 255/999999 (1/1) | Loss: 9.2253 | 2.2 steps/s | Step: 0k | 
| Epoch: 256/999999 (1/1) | Loss: 9.1513 | 2.1 steps/s | Step: 0k | 
| Epoch: 257/999999 (1/1) | Loss: 9.0296 | 2.6 steps/s | Step: 0k | 
| Epoch: 258/999999 (1/1) | Loss: 9.0643 | 2.1 steps/s | Step: 0k | 
| Epoch: 259/999999 (1/1) | Loss: 9.0749 | 2.8 steps/s | Step: 0k | 
| Epoch: 260/999999 (1/1) | Loss: 8.9871 | 2.8 steps/s | Step: 0k | 
| Epoch: 261/999999 (1/1) | Loss: 8.8348 | 2.5 steps/s | Step: 0k | 
| Epoch: 262/999999 (1/1) | Loss: 9.1098 | 2.3 steps/s | Step: 0k | 
| Epoch: 263/999999 (1/1) | Loss: 9.2074 | 2.0 steps/s | Step: 0k | 
| Epoch: 264/999999 (1/1) | Loss: 8.7637 | 1.9 steps/s | Step: 0k | 
| Epoch: 265/999999 (1/1) | Loss: 8.6049 | 2.0 steps/s | Step: 0k | 
| Epoch: 266/999999 (1/1) | Loss: 9.2099 | 2.3 steps/s | Step: 0k | 
| Epoch: 267/999999 (1/1) | Loss: 9.1859 | 2.4 steps/s | Step: 0k | 
| Epoch: 268/999999 (1/1) | Loss: 9.2099 | 2.4 steps/s | Step: 0k | 
| Epoch: 269/999999 (1/1) | Loss: 9.2880 | 2.6 steps/s | Step: 0k | 
| Epoch: 270/999999 (1/1) | Loss: 8.9956 | 2.1 steps/s | Step: 0k | 
